TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Fall 2018",COSC,1430,6,"Introduction to Programming",Toti,Giulia,20,16,20,10,13,15,2.224
"Fall 2018",COSC,1430,4,"Introduction to Programming",Ebalunode,"Jerry Osagie",26,19,6,6,0,15,3.129
"Fall 2018",COSC,1430,1,"Introduction to Programming",Toti,Giulia,29,22,20,8,7,7,2.651
